Triangulos,FPS
1000,48.2387
1000,59.4468
1000,60.7473
1000,59.9391
1000,59.7739
1000,60.1772
1000,59.8724
1000,59.9768
1000,59.9399
1000,60.1315
1000,60.1744
1000,60.0085
1000,60.0177
1000,59.9763
1000,59.8303
1000,60.1347
1000,60.0127
1000,59.989
1000,59.9806
1000,60.0356
1000,60.0387
1000,59.998
1000,59.7308
1000,59.4606
1000,60.5079
1000,60.2721
1000,59.834
5000,59.7096
5000,60.8162
5000,59.9714
5000,60.1615
5000,59.7287
5000,59.7156
5000,59.8703
5000,60.9682
5000,59.9284
5000,59.828
5000,59.799
5000,60.2691
5000,59.5564
5000,60.0888
5000,59.9213
5000,59.7968
5000,60.3367
5000,59.9658
5000,59.3147
5000,60.6426
5000,60.1562
5000,59.6725
5000,60.7564
10000,60.7458
10000,59.6568
10000,59.9768
10000,60.4015
10000,59.6524
10000,60.27
10000,59.7284
10000,59.8637
10000,60.4729
10000,59.3645
10000,60.7702
10000,60.0309
10000,58.9948
10000,60.6607
10000,59.216
10000,60.7875
10000,59.6331
10000,60.2895
10000,59.7322
10000,60.7203
10000,59.6229
20000,57.8654
20000,58.7123
20000,59.5868
20000,57.4099
20000,56.5388
20000,59.4189
20000,56.3717
20000,57.5952
20000,58.5156
20000,59.9752
20000,58.6708
20000,59.5759
20000,57.4092
20000,58.8359
20000,59.2073
20000,58.8788
20000,58.6051
20000,58.5754
20000,56.5999
20000,59.6492
20000,57.8108
20000,54.0777
30000,54.7764
30000,46.9678
30000,47.4665
30000,49.0782
30000,48.7416
30000,41.1563
30000,33.6647
30000,42.3913
30000,43.1178
30000,41.7866
30000,45.2689
30000,40.8943
30000,35.2051
30000,39.4936
30000,41.5568
30000,44.3788
40000,40.201
40000,33.5684
40000,34.9857
40000,35.3125
40000,34.3378
40000,35.7729
40000,35.2648
40000,35.6777
40000,35.0826
40000,29.3354
40000,27.2321
40000,30.8723
40000,31.4953
40000,32.85
40000,28.8929
40000,32.4833
40000,35.7342
40000,35.9159
50000,33.5073
50000,28.9512
50000,28.273
50000,26.6346
50000,26.8763
50000,19.7748
50000,26.2037
50000,25.2439
50000,26.8653
50000,23.6825
50000,24.5288
50000,28.8767
50000,28.3534
50000,24.9684
50000,26.8342
50000,26.1297
