Triangulos,FPS,Omnidirecional,SpotLight
1000,45.5127,ON,ON
1000,60.5954,ON,ON
1000,10.6231,ON,ON
1000,60.9058,ON,ON
1000,60.5603,ON,ON
1000,55.422,ON,ON
1000,14.2306,ON,ON
1000,60.4277,ON,ON
1000,60.3006,ON,ON
1000,60.4487,ON,ON
1000,60.8399,ON,ON
1000,59.2552,ON,ON
1000,56.9858,ON,ON
1000,60.3917,ON,ON
1000,46.7355,ON,ON
1000,40.9866,ON,ON
1000,60.7848,ON,ON
1000,60.4134,ON,ON
1000,14.7384,ON,ON
1000,60.6524,ON,ON
1000,60.9496,ON,ON
1000,59.93,ON,ON
1000,60.2112,ON,ON
1000,59.9972,ON,ON
1000,59.8522,ON,ON
1000,60.1797,ON,ON
1000,59.2491,ON,ON
1000,60.5328,ON,ON
1000,60.1335,ON,ON
1000,60.0635,ON,ON
1000,59.9767,ON,ON
1000,59.947,ON,ON
1000,59.8838,ON,ON
1000,59.092,ON,ON
1000,60.7075,ON,ON
1000,60.4069,ON,ON
1000,59.8461,ON,ON
5000,60.3157,ON,ON
5000,59.8124,ON,ON
5000,60.4283,ON,ON
5000,59.9856,ON,ON
5000,59.872,ON,ON
5000,60.2477,ON,ON
5000,59.801,ON,ON
5000,59.8935,ON,ON
5000,59.5661,ON,ON
5000,60.6802,ON,ON
5000,60.3156,ON,ON
5000,59.5865,ON,ON
5000,60.3075,ON,ON
5000,59.5385,ON,ON
5000,60.4331,ON,ON
10000,60.7732,ON,ON
10000,60.4972,ON,ON
10000,59.5208,ON,ON
10000,60.4817,ON,ON
10000,59.6377,ON,ON
10000,60.378,ON,ON
10000,58.2154,ON,ON
10000,60.1383,ON,ON
10000,60.6569,ON,ON
10000,59.479,ON,ON
10000,59.8277,ON,ON
10000,59.9868,ON,ON
10000,59.7272,ON,ON
10000,60.5287,ON,ON
10000,60.0173,ON,ON
10000,60.5084,ON,ON
20000,58.787,ON,ON
20000,59.505,ON,ON
20000,59.5116,ON,ON
20000,56.8052,ON,ON
20000,57.2632,ON,ON
20000,57.2101,ON,ON
20000,57.3417,ON,ON
20000,57.8837,ON,ON
20000,58.57,ON,ON
20000,57.2554,ON,ON
20000,57.0133,ON,ON
20000,56.3102,ON,ON
20000,58.5875,ON,ON
20000,59.3935,ON,ON
20000,58.8292,ON,ON
20000,50.7453,ON,ON
20000,57.344,ON,ON
30000,50.0374,ON,ON
30000,44.5738,ON,ON
30000,42.0467,ON,ON
30000,33.8162,ON,ON
30000,36.4276,ON,ON
30000,40.7134,ON,ON
30000,38.78,ON,ON
30000,38.693,ON,ON
30000,38.65,ON,ON
30000,28.277,ON,ON
30000,39.8503,ON,ON
30000,43.7578,ON,ON
40000,37.4726,ON,ON
40000,32.8938,ON,ON
40000,31.9788,ON,ON
40000,27.9503,ON,ON
40000,24.9734,ON,ON
40000,29.6455,ON,ON
40000,29.8999,ON,ON
40000,29.9182,ON,ON
40000,31.5508,ON,ON
40000,25.2676,ON,ON
40000,34.1714,ON,ON
50000,31.5159,ON,ON
50000,27.7822,ON,ON
50000,26.8629,ON,ON
50000,27.888,ON,ON
50000,21.8611,ON,ON
50000,20.3756,ON,ON
50000,24.8702,ON,ON
50000,22.8424,ON,ON
50000,24.9977,ON,ON
50000,22.7782,ON,ON
50000,20.9553,ON,ON
50000,25.1782,ON,ON
50000,22.8233,ON,ON
50000,26.4148,ON,ON
50000,26.7394,ON,ON
50000,24.7638,ON,ON
